iter	Passed	Remaining
0	16	3319
1	18	1813
2	20	1321
3	21	1075
4	23	920
5	25	818
6	27	752
7	28	695
8	30	653
9	32	620
10	34	591
11	36	566
12	37	542
13	39	526
14	41	509
15	43	494
16	44	483
17	46	472
18	48	462
19	50	454
20	52	448
21	54	438
22	55	429
23	57	421
24	59	414
25	61	408
26	62	401
27	64	396
28	66	392
29	68	386
30	70	381
31	71	376
32	73	371
33	75	366
34	77	363
35	78	359
36	80	354
37	82	349
38	83	345
39	85	341
40	87	338
41	89	337
42	91	333
43	93	330
44	94	326
45	96	322
46	98	319
47	100	316
48	102	315
49	104	313
50	106	311
51	108	308
52	110	306
53	112	303
54	114	302
55	117	301
56	119	299
57	121	297
58	123	294
59	125	292
60	128	291
61	129	289
62	131	286
63	133	283
64	135	281
65	137	279
66	140	278
67	142	276
68	144	273
69	146	271
70	147	268
71	150	266
72	152	265
73	155	264
74	157	262
75	159	259
76	161	257
77	163	255
78	165	254
79	168	252
80	170	250
81	172	248
82	174	245
83	176	243
84	179	242
85	181	239
86	182	237
87	184	235
88	186	232
89	188	230
90	191	229
91	193	227
92	195	224
93	197	222
94	199	220
95	201	218
96	204	216
97	206	214
98	208	212
99	210	210
100	212	208
101	214	205
102	217	204
103	219	202
104	221	200
105	223	198
106	225	196
107	228	194
108	230	192
109	232	190
110	234	188
111	236	186
112	239	184
113	242	182
114	244	180
115	246	178
116	248	176
117	250	174
118	252	172
119	255	170
120	257	168
121	259	165
122	261	163
123	263	161
124	265	159
125	268	157
126	270	155
127	272	153
128	274	150
129	276	148
130	278	146
131	280	144
132	283	142
133	285	140
134	287	138
135	289	136
136	291	133
137	293	131
138	295	129
139	298	127
140	300	125
141	302	123
142	304	121
143	307	119
144	309	117
145	311	115
146	313	113
147	316	111
148	318	109
149	321	107
150	323	104
151	325	102
152	327	100
153	330	98
154	332	96
155	335	94
156	337	92
157	339	90
158	341	88
159	344	86
160	346	83
161	349	81
162	351	79
163	354	77
164	356	75
165	358	73
166	360	71
167	362	69
168	364	66
169	367	64
170	369	62
171	371	60
172	374	58
173	376	56
174	379	54
175	382	52
176	384	49
177	386	47
178	388	45
179	390	43
180	393	41
181	395	39
182	397	36
183	400	34
184	402	32
185	405	30
186	407	28
187	410	26
188	412	24
189	414	21
190	417	19
191	419	17
192	422	15
193	424	13
194	426	10
195	428	8
196	431	6
197	434	4
198	436	2
199	438	0
